,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
34,Lesotho,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,LSO,Year,2014,False,,,,,,,,,,,,,78,,,,,,78,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,LSO,Year,2009-2014,False,,,,,,,,,,,,,74.4,,,,,,74.4,,EN,2025-09-25T22:00:00.000Z
35,Malawi,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MWI,Year,2013-2014,False,,,,,,,,,,,,,87,,,,,,87,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,MWI,Year,2010-2016,False,,,,,,,,,,,,,50.6,,,,,,50.6,,EN,2025-09-25T22:00:00.000Z
45,Rwanda,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,RWA,Year,2014-2015,False,,,,,,,,,,,,,91,,,,,,91,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,RWA,Year,2010-2015,False,,,,,,,,,,,,,43.9,,,,,,43.9,,EN,2025-09-25T22:00:00.000Z
46,Samoa,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,WSM,Year,2014,False,,,,,,,,,,,,,83,,,,,,83,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,WPR,Western Pacific,Country,WSM,Year,2009-2014,False,,,,,,,,,,,,,72.9,,,,,,72.9,,EN,2025-09-25T22:00:00.000Z
47,Sao Tome and Principe,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,STP,Year,2014,False,,,,,,,,,,,,,93,,,,,,93,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,STP,Year,2012-2014,False,,,,,,,,,,,,,83.6,,,,,,83.6,,EN,2025-09-25T22:00:00.000Z
48,Senegal,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SEN,Year,2012-2014,False,,,,,,,,,,,,,59,,,,,,59,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,SEN,Year,2014-2019,False,,,,,,,,,,,,,55.5,,,,,,55.5,,EN,2025-09-25T22:00:00.000Z
50,Singapore,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,SGP,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,WPR,Western Pacific,Country,SGP,Year,2014,False,,,,,,,,,,,,,96.8,,,,,,96.8,,EN,2025-09-25T22:00:00.000Z
53,Togo,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,TGO,Year,2013-2014,False,,,,,,,,,,,,,45,,,,,,45,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,TGO,Year,2008-2014,False,,,,,,,,,,,,,57.2,,,,,,57.2,,EN,2025-09-25T22:00:00.000Z
60,Viet Nam,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,VNM,Year,2013-2014,False,,,,,,,,,,,,,94,,,,,,94,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,WPR,Western Pacific,Country,VNM,Year,2011-2014,False,,,,,,,,,,,,,73.7,,,,,,73.7,,EN,2025-09-25T22:00:00.000Z
61,Zambia,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,ZMB,Year,2013-2014,False,,,,,,,,,,,,,63,,,,,,63,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,ZMB,Year,2014-2019,False,,,,,,,,,,,,,63.5,,,,,,63.5,,EN,2025-09-25T22:00:00.000Z
62,Zimbabwe,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,ZWE,Year,2014,False,,,,,,,,,,,,,80,,,,,,80,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,ZWE,Year,2010-2015,False,,,,,,,,,,,,,75.7,,,,,,75.7,,EN,2025-09-25T22:00:00.000Z
