,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
29,Iceland,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ISL,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,ISL,Year,2014,False,,,,,,,,,,,,,98.3,,,,,,98.3,,EN,2025-09-25T22:00:00.000Z
31,Italy,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ITA,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,ITA,Year,2014,False,,,,,,,,,,,,,87.3,,,,,,87.3,,EN,2025-09-25T22:00:00.000Z
33,Kyrgyzstan,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,KGZ,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,KGZ,Year,2014,False,,,,,,,,,,,,,94.6,,,,,,94.6,,EN,2025-09-25T22:00:00.000Z
36,Mexico,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,MEX,Year,2014,False,,,,,,,,,,,,,96,,,,,,96,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,MEX,Year,2013-2015,False,,,,,,,,,,,,,94.3,,,,,,94.3,,EN,2025-09-25T22:00:00.000Z
38,Nicaragua,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,NIC,Year,2014,False,,,,,,,,,,,,,93,,,,,,93,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,NIC,Year,2014,False,,,,,,,,,,,,,71.0,,,,,,71.0,,EN,2025-09-25T22:00:00.000Z
41,Panama,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PAN,Year,2014,False,,,,,,,,,,,,,94,,,,,,94,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,PAN,Year,2009-2015,False,,,,,,,,,,,,,98.6,,,,,,98.6,,EN,2025-09-25T22:00:00.000Z
42,Paraguay,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PRY,Year,2014,False,,,,,,,,,,,,,96,,,,,,96,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,PRY,Year,2014,False,,,,,,,,,,,,,78.3,,,,,,78.3,,EN,2025-09-25T22:00:00.000Z
43,Peru,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PER,Year,2014,False,,,,,,,,,,,,,90,,,,,,90,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,PER,Year,2014-2019,False,,,,,,,,,,,,,96.3,,,,,,96.3,,EN,2025-09-25T22:00:00.000Z
44,Poland,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,POL,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,POL,Year,2014,False,,,,,,,,,,,,,87.27,,,,,,87.3,,EN,2025-09-25T22:00:00.000Z
49,Serbia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,SRB,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,SRB,Year,2012-2014,False,,,,,,,,,,,,,93.9,,,,,,93.9,,EN,2025-09-25T22:00:00.000Z
51,Slovakia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,SVK,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,SVK,Year,2014,False,,,,,,,,,,,,,96.2,,,,,,96.2,,EN,2025-09-25T22:00:00.000Z
52,Tajikistan,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,TJK,Year,2014,False,,,,,,,,,,,,,90,,,,,,90,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,TJK,Year,2012-2017,False,,,,,,,,,,,,,64.2,,,,,,64.2,,EN,2025-09-25T22:00:00.000Z
54,Trinidad and Tobago,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,TTO,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,TTO,Year,2014,False,,,,,,,,,,,,,100.0,,,,,,100.0,,EN,2025-09-25T22:00:00.000Z
55,TÃ¼rkiye,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,TUR,Year,2013-2014,False,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,TUR,Year,2013-2019,False,,,,,,,,,,,,,89.7,,,,,,89.7,,EN,2025-09-25T22:00:00.000Z
57,United States of America,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,USA,Year,2014,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,USA,Year,2014,False,,,,,,,,,,,,,96.3,,,,,,96.3,,EN,2025-09-25T22:00:00.000Z
58,Uruguay,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,URY,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,URY,Year,2014,False,,,,,,,,,,,,,95.9,,,,,,95.9,,EN,2025-09-25T22:00:00.000Z
59,Venezuela (Bolivarian Republic of),MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,VEN,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,VEN,Year,2014,False,,,,,,,,,,,,,86.9,,,,,,86.9,,EN,2025-09-25T22:00:00.000Z
